code,in_ak_fund_name_em,has_local_file,local_rows,local_latest_date,in_pending_batch08,stale_run_count,stale_runs
159571,True,False,,,True,0,
159804,True,False,,,True,0,
159915,True,True,3472.0,2026-04-01,False,7,20260401_153838;20260401_170551;20260401_174036;20260401_182639;20260401_200103;20260401_211707;20260401_214728
159368,True,True,42.0,2026-03-11,False,2,20260401_153838;20260401_170551
159681,True,True,42.0,2026-03-11,False,2,20260401_153838;20260401_170551
159682,True,True,43.0,2026-03-12,False,2,20260401_153838;20260401_170551
159781,True,True,42.0,2026-03-11,False,2,20260401_153838;20260401_170551
159948,True,True,43.0,2026-03-12,False,2,20260401_153838;20260401_170551
159952,True,True,43.0,2026-03-12,False,2,20260401_153838;20260401_170551
159957,True,True,42.0,2026-03-11,False,2,20260401_153838;20260401_170551
159977,True,True,38.0,2026-03-05,False,2,20260401_153838;20260401_170551
588020,True,True,42.0,2026-03-11,False,2,20260401_153838;20260401_170551
588030,True,True,41.0,2026-03-10,False,2,20260401_153838;20260401_170551
588120,True,True,611.0,2026-03-31,False,2,20260401_153838;20260401_170551
588780,True,True,303.0,2026-03-31,False,2,20260401_153838;20260401_170551
588830,True,True,42.0,2026-03-11,False,2,20260401_153838;20260401_170551
588890,True,True,458.0,2026-03-16,False,2,20260401_153838;20260401_170551
159220,True,True,216.0,2026-03-30,False,1,20260401_174036
159231,True,True,222.0,2026-03-30,False,1,20260401_200103
159246,True,True,176.0,2026-04-01,False,1,20260401_170551
159300,True,True,440.0,2026-03-30,False,1,20260401_174036
159388,True,True,240.0,2026-04-01,False,1,20260401_170551
159596,True,True,492.0,2026-03-30,False,1,20260401_174036
159629,True,True,886.0,2026-04-01,False,1,20260401_170551
159747,True,True,1142.0,2026-04-01,False,1,20260401_170551
159780,True,True,1137.0,2026-03-16,False,1,20260401_174036
159801,True,True,1485.0,2026-04-01,False,1,20260401_170551
159806,True,True,1460.0,2026-03-30,False,1,20260401_174036
159807,True,True,1454.0,2026-03-30,False,1,20260401_174036
159863,True,True,1224.0,2026-03-30,False,1,20260401_182639
159871,True,True,1212.0,2026-04-01,False,1,20260401_170551
159876,True,True,1214.0,2026-03-30,False,1,20260401_174036
159885,True,True,1201.0,2026-03-30,False,1,20260401_211707
159925,True,True,3150.0,2026-04-01,False,1,20260401_170551
159938,True,True,2726.0,2026-03-30,False,1,20260401_174036
159939,True,True,2706.0,2026-03-30,False,1,20260401_182639
159970,True,True,1499.0,2026-03-30,False,1,20260401_211707
159994,True,True,1477.0,2026-04-01,False,1,20260401_170551
510030,True,True,3834.0,2026-03-30,False,1,20260401_200103
510150,True,True,3652.0,2026-03-30,False,1,20260401_174036
510580,True,True,2520.0,2026-03-30,False,1,20260401_174036
512040,True,True,1778.0,2026-04-01,False,1,20260401_170551
512120,True,True,2944.0,2026-03-30,False,1,20260401_182639
512160,True,True,1921.0,2026-03-30,False,1,20260401_211707
512200,True,True,2064.0,2026-04-01,False,1,20260401_170551
512390,True,True,1768.0,2026-03-30,False,1,20260401_214728
512520,True,True,1908.0,2026-03-30,False,1,20260401_211707
512560,True,True,2100.0,2026-03-30,False,1,20260401_174036
512600,True,True,2794.0,2026-03-30,False,1,20260401_182639
512670,True,True,1612.0,2026-03-30,False,1,20260401_174036
512760,True,True,1208.0,2026-04-01,False,1,20260401_170551
512810,True,True,2329.0,2026-03-30,False,1,20260401_174036
515000,True,True,1604.0,2026-04-01,False,1,20260401_170551
515100,True,True,1391.0,2026-03-30,False,1,20260401_174036
515980,True,True,1208.0,2026-04-01,False,1,20260401_170551
516070,True,True,1193.0,2026-03-30,False,1,20260401_200103
516090,True,True,1219.0,2026-04-01,False,1,20260401_170551
516300,True,True,1215.0,2026-03-30,False,1,20260401_200103
516800,True,True,1238.0,2026-03-30,False,1,20260401_200103
562000,True,True,886.0,2026-03-30,False,1,20260401_182639
562030,True,True,597.0,2026-03-30,False,1,20260401_200103
562060,True,True,542.0,2026-03-30,False,1,20260401_174036
562080,True,True,232.0,2026-03-30,False,1,20260401_174036
588380,True,True,44.0,2026-03-13,False,1,20260401_174036
588760,True,True,285.0,2026-04-01,False,1,20260401_170551
588790,True,True,295.0,2026-04-01,False,1,20260401_170551
